Date,price
1/4/2014 15:00,41.03371
1/4/2014 15:30,47.06779
1/4/2014 16:00,44.95895
1/4/2014 16:30,46.69986
1/4/2014 17:00,41.39862
1/4/2014 17:30,51.08024
1/4/2014 18:00,52.21778
1/4/2014 18:30,43.03893
1/4/2014 19:00,45.48188
1/4/2014 19:30,45.43243
1/4/2014 20:00,45.31577
1/4/2014 20:30,57.76447
1/4/2014 21:00,70.07641
1/4/2014 21:30,52.70949
1/4/2014 22:00,45.57846
1/4/2014 22:30,40.90007
1/4/2014 23:00,44.72187
1/4/2014 23:30,40.66241
1/5/2014 0:00,42.25978
1/5/2014 0:30,52.60815
1/5/2014 1:00,61.16225
1/5/2014 1:30,47.97022
1/5/2014 2:00,45.63047
1/5/2014 2:30,42.93998
1/5/2014 3:00,40.41209
1/5/2014 3:30,40.39922
1/5/2014 4:00,42.39303
1/5/2014 4:30,42.94041
1/5/2014 5:00,42.57166
1/5/2014 5:30,45.68629
1/5/2014 6:00,45.70076
1/5/2014 6:30,50.67357
1/5/2014 7:00,66.45668
1/5/2014 7:30,51.74714
1/5/2014 8:00,50.74102
1/5/2014 8:30,42.94087
1/5/2014 9:00,43.23411
1/5/2014 9:30,40.64134
1/5/2014 10:00,37.86598
1/5/2014 10:30,39.86036
1/5/2014 11:00,38.01327
1/5/2014 11:30,39.32746
1/5/2014 12:00,39.59935
1/5/2014 12:30,40.95068
1/5/2014 13:00,40.86336
1/5/2014 13:30,41.13908
1/5/2014 14:00,39.50129
1/5/2014 14:30,48.13117
1/5/2014 15:00,40.67541
1/5/2014 15:30,50.28509
1/5/2014 16:00,43.49394
1/5/2014 16:30,54.21554
1/5/2014 17:00,41.2886
1/5/2014 17:30,59.20247
1/5/2014 18:00,67.03308
1/5/2014 18:30,59.41846
1/5/2014 19:00,52.48256
1/5/2014 19:30,54.57757
1/5/2014 20:00,52.57403
1/5/2014 20:30,53.81329
1/5/2014 21:00,62.78145
1/5/2014 21:30,54.1398
1/5/2014 22:00,52.41199
1/5/2014 22:30,47.04764
1/5/2014 23:00,60.35573
1/5/2014 23:30,46.82941
1/6/2014 0:00,47.21479
1/6/2014 0:30,46.86554
1/6/2014 1:00,49.68058
1/6/2014 1:30,43.49239
1/6/2014 2:00,42.7043
1/6/2014 2:30,39.68049
1/6/2014 3:00,39.47556
1/6/2014 3:30,40.0703
1/6/2014 4:00,47.87799
1/6/2014 4:30,52.50647
1/6/2014 5:00,41.00583
